hard_data
4
X
Y
Z
facies
33 38 0 0.0000000000
97 49 0 0.0000000000
56 57 0 0.0000000000
78 62 0 0.0000000000
86 129 0 0.0000000000
33 38 1 1.0000000000
97 49 1 0.0000000000
56 57 1 1.0000000000
78 62 1 0.0000000000
86 129 1 1.0000000000
33 38 2 1.0000000000
97 49 2 0.0000000000
56 57 2 1.0000000000
78 62 2 0.0000000000
86 129 2 1.0000000000
33 38 3 1.0000000000
97 49 3 0.0000000000
56 57 3 1.0000000000
78 62 3 0.0000000000
86 129 3 1.0000000000
33 38 4 1.0000000000
97 49 4 0.0000000000
56 57 4 1.0000000000
78 62 4 0.0000000000
86 129 4 1.0000000000
33 38 5 0.0000000000
97 49 5 0.0000000000
56 57 5 0.0000000000
78 62 5 1.0000000000
86 129 5 0.0000000000
33 38 6 0.0000000000
97 49 6 0.0000000000
56 57 6 0.0000000000
78 62 6 1.0000000000
86 129 6 0.0000000000
33 38 7 0.0000000000
97 49 7 0.0000000000
56 57 7 0.0000000000
78 62 7 1.0000000000
86 129 7 0.0000000000
33 38 8 0.0000000000
97 49 8 0.0000000000
56 57 8 0.0000000000
78 62 8 0.0000000000
86 129 8 0.0000000000
33 38 9 0.0000000000
97 49 9 0.0000000000
56 57 9 1.0000000000
78 62 9 0.0000000000
86 129 9 0.0000000000
